FirmCode,Party Reference,Roles,Linked Reference
JJ ,JJGOP001  ,CRS Substantial Owner,JJRIL001  
JJ ,JJHAL001  ,,
JJ ,JJHAM001  ,PCI Connected Party,JJATY001  
JJ ,JJHEJ001  ,CRS Participant,JJLEM002  
JJ ,JJHEJ001  ,Joint,JJLEM002  
JJ ,JJHEJ001  ,PCI Connected Party,JJLEM002  
JJ ,JJHOC001  ,CRS Participant,JJHOM002  
JJ ,JJHOC001  ,Joint,JJHOM002  
JJ ,JJHOC001  ,PCI Connected Party,JJHOM002  
JJ ,JJHOM001  ,CRS Participant,JJHOM002  
JJ ,JJHOM001  ,Joint,JJHOM002  
JJ ,JJHOM001  ,PCI Connected Party,JJHOM002  
JJ ,JJHPH001  ,GIA,JJHPH001  
JJ ,JJICV001  ,PCI Connected Party,JJIHT002  
JJ ,JJICV001  ,PCI Connected Party,JJIHT001  
JJ ,JJIHT001  ,GIA,JJIHT001  
JJ ,JJIHT002  ,GIA,JJIHT002  
JJ ,JJJAA001  ,CRS Substantial Owner,JJGIL001  
JJ ,JJJAA001  ,PCI Connected Party,JJGIL001  
JJ ,JJJAA002  ,PCI Connected Party,JJGIL001  
JJ ,JJJIP001  ,GIA,JJJIP001  
JJ ,JJJOS001  ,CRS Substantial Owner,JJSEA001  
JJ ,JJJOS001  ,PCI Connected Party,JJSEA001  
JJ ,JJKCO001  ,CRS Participant,JJKCO002  
JJ ,JJKCO001  ,Joint,JJKCO002  
JJ ,JJKEA001  ,GIA,JJKEA001  
JJ ,JJKEF001  ,GIA,JJKEF001  
JJ ,JJKEF001  ,Secondary,JJKEF002  
JJ ,JJKEJ001  ,CRS Substantial Owner,JJEDL001  
JJ ,JJKEJ001  ,PCI Connected Party,JJEDL001  
JJ ,JJLAJ001  ,PCI Connected Party,JJBIL002  
JJ ,JJLAS001  ,CRS Substantial Owner,JJBIL002  
JJ ,JJLAS001  ,PCI Connected Party,JJBIL002  
JJ ,JJLEC001  ,GIA,JJLEC001  
JJ ,JJLEC002  ,PCI Connected Party,JJSLD001  
